statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
73321;Turnover tax statistics (assessments);JAHR;Year;2011;DINSG;Germany;DG;Germany;138101762;EUR 1000;STR061;Remaining turnover tax / surplus;e
73321;Turnover tax statistics (assessments);JAHR;Year;2011;DINSG;Germany;DG;Germany;4333993750;EUR 1000;STR043;Taxable supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2011;DINSG;Germany;DG;Germany;576875967;EUR 1000;STR048;Tax-ex. s. and s., input tax ded. intra-Com. sup.;e
73321;Turnover tax statistics (assessments);JAHR;Year;2011;DINSG;Germany;DG;Germany;753132854;EUR 1000;STR056;Turnover tax on supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2011;DINSG;Germany;DG;Germany;92114374;EUR 1000;STR057;Turnover tax on intra-Community acquisitions;e
73321;Turnover tax statistics (assessments);JAHR;Year;2011;DINSG;Germany;DG;Germany;1096075764;EUR 1000;STR047;Tax-exempt s. and s. with input tax deduction;e
73321;Turnover tax statistics (assessments);JAHR;Year;2011;DINSG;Germany;DG;Germany;6193775;number;STR040;Turnover taxpayers;e
73321;Turnover tax statistics (assessments);JAHR;Year;2011;DINSG;Germany;DG;Germany;3751170108;EUR 1000;STR044;Taxable supplies and services, full tax rate;e
73321;Turnover tax statistics (assessments);JAHR;Year;2011;DINSG;Germany;DG;Germany;46867128;EUR 1000;STR054;Intra-Community acquisitions, reduced tax rate;e
73321;Turnover tax statistics (assessments);JAHR;Year;2011;DINSG;Germany;DG;Germany;519621471;EUR 1000;STR052;Taxable turnover: intra-Community acquisitions;e
73321;Turnover tax statistics (assessments);JAHR;Year;2011;DINSG;Germany;DG;Germany;5842962727;EUR 1000;STR042;Taxable turnover: supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2011;DINSG;Germany;DG;Germany;6364538527;EUR 1000;STR041;Taxable turnover;e
73321;Turnover tax statistics (assessments);JAHR;Year;2011;DINSG;Germany;DG;Germany;577871340;EUR 1000;STR045;Taxable supplies and services, reduced tax rate;e
73321;Turnover tax statistics (assessments);JAHR;Year;2011;DINSG;Germany;DG;Germany;271056303;EUR 1000;STR050;Tax-exempt s. and s. without input tax deduction;e
73321;Turnover tax statistics (assessments);JAHR;Year;2011;DINSG;Germany;DG;Germany;519199796;EUR 1000;STR049;Other tax-ex. s. and s. with input tax deduction;e
73321;Turnover tax statistics (assessments);JAHR;Year;2011;DINSG;Germany;DG;Germany;1367132067;EUR 1000;STR046;Tax-exempt supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2011;DINSG;Germany;DG;Germany;797663933;EUR 1000;STR059;Deductible input tax;e
73321;Turnover tax statistics (assessments);JAHR;Year;2011;DINSG;Germany;DG;Germany;89693020;EUR 1000;STR058;Tax on turnov., S. 13b of UStG, rep. by the cust.;e
73321;Turnover tax statistics (assessments);JAHR;Year;2011;DINSG;Germany;DG;Germany;139719083;EUR 1000;STR051;Tax. turnover, S. 13b of UStG, rep. by the supp.;e
73321;Turnover tax statistics (assessments);JAHR;Year;2011;DINSG;Germany;DG;Germany;935766454;EUR 1000;STR055;Turnover tax prior to deduction of input tax;e
73321;Turnover tax statistics (assessments);JAHR;Year;2011;DINSG;Germany;DG;Germany;467538943;EUR 1000;STR053;Intra-Community acquisitions, full tax rate;e
73321;Turnover tax statistics (assessments);JAHR;Year;2010;DINSG;Germany;DG;Germany;138933270;EUR 1000;STR061;Remaining turnover tax / surplus;e
73321;Turnover tax statistics (assessments);JAHR;Year;2010;DINSG;Germany;DG;Germany;4073239128;EUR 1000;STR043;Taxable supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2010;DINSG;Germany;DG;Germany;528313680;EUR 1000;STR048;Tax-ex. s. and s., input tax ded. intra-Com. sup.;e
73321;Turnover tax statistics (assessments);JAHR;Year;2010;DINSG;Germany;DG;Germany;706830061;EUR 1000;STR056;Turnover tax on supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2010;DINSG;Germany;DG;Germany;81904888;EUR 1000;STR057;Turnover tax on intra-Community acquisitions;e
73321;Turnover tax statistics (assessments);JAHR;Year;2010;DINSG;Germany;DG;Germany;983666619;EUR 1000;STR047;Tax-exempt s. and s. with input tax deduction;e
73321;Turnover tax statistics (assessments);JAHR;Year;2010;DINSG;Germany;DG;Germany;6018031;number;STR040;Turnover taxpayers;e
73321;Turnover tax statistics (assessments);JAHR;Year;2010;DINSG;Germany;DG;Germany;3518456239;EUR 1000;STR044;Taxable supplies and services, full tax rate;e
73321;Turnover tax statistics (assessments);JAHR;Year;2010;DINSG;Germany;DG;Germany;43256309;EUR 1000;STR054;Intra-Community acquisitions, reduced tax rate;e
73321;Turnover tax statistics (assessments);JAHR;Year;2010;DINSG;Germany;DG;Germany;464091931;EUR 1000;STR052;Taxable turnover: intra-Community acquisitions;e
73321;Turnover tax statistics (assessments);JAHR;Year;2010;DINSG;Germany;DG;Germany;5410933612;EUR 1000;STR042;Taxable turnover: supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2010;DINSG;Germany;DG;Germany;5876733608;EUR 1000;STR041;Taxable turnover;e
73321;Turnover tax statistics (assessments);JAHR;Year;2010;DINSG;Germany;DG;Germany;552992528;EUR 1000;STR045;Taxable supplies and services, reduced tax rate;e
73321;Turnover tax statistics (assessments);JAHR;Year;2010;DINSG;Germany;DG;Germany;253001945;EUR 1000;STR050;Tax-exempt s. and s. without input tax deduction;e
73321;Turnover tax statistics (assessments);JAHR;Year;2010;DINSG;Germany;DG;Germany;455352939;EUR 1000;STR049;Other tax-ex. s. and s. with input tax deduction;e
73321;Turnover tax statistics (assessments);JAHR;Year;2010;DINSG;Germany;DG;Germany;1236668564;EUR 1000;STR046;Tax-exempt supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2010;DINSG;Germany;DG;Germany;717246642;EUR 1000;STR059;Deductible input tax;e
73321;Turnover tax statistics (assessments);JAHR;Year;2010;DINSG;Germany;DG;Germany;66340700;EUR 1000;STR058;Tax on turnov., S. 13b of UStG, rep. by the cust.;e
73321;Turnover tax statistics (assessments);JAHR;Year;2010;DINSG;Germany;DG;Germany;99593032;EUR 1000;STR051;Tax. turnover, S. 13b of UStG, rep. by the supp.;e
73321;Turnover tax statistics (assessments);JAHR;Year;2010;DINSG;Germany;DG;Germany;856180654;EUR 1000;STR055;Turnover tax prior to deduction of input tax;e
73321;Turnover tax statistics (assessments);JAHR;Year;2010;DINSG;Germany;DG;Germany;415135599;EUR 1000;STR053;Intra-Community acquisitions, full tax rate;e
73321;Turnover tax statistics (assessments);JAHR;Year;2021;DINSG;Germany;DG;Germany;188033770;EUR 1000;STR061;Remaining turnover tax / surplus;e
73321;Turnover tax statistics (assessments);JAHR;Year;2021;DINSG;Germany;DG;Germany;5065073459;EUR 1000;STR043;Taxable supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2021;DINSG;Germany;DG;Germany;702355996;EUR 1000;STR048;Tax-ex. s. and s., input tax ded. intra-Com. sup.;e
73321;Turnover tax statistics (assessments);JAHR;Year;2021;DINSG;Germany;DG;Germany;871842493;EUR 1000;STR056;Turnover tax on supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2021;DINSG;Germany;DG;Germany;129040108;EUR 1000;STR057;Turnover tax on intra-Community acquisitions;e
73321;Turnover tax statistics (assessments);JAHR;Year;2021;DINSG;Germany;DG;Germany;1450082812;EUR 1000;STR047;Tax-exempt s. and s. with input tax deduction;e
73321;Turnover tax statistics (assessments);JAHR;Year;2021;DINSG;Germany;DG;Germany;7215445;number;STR040;Turnover taxpayers;e
73321;Turnover tax statistics (assessments);JAHR;Year;2021;DINSG;Germany;DG;Germany;4310999839;EUR 1000;STR044;Taxable supplies and services, full tax rate;e
73321;Turnover tax statistics (assessments);JAHR;Year;2021;DINSG;Germany;DG;Germany;67428676;EUR 1000;STR054;Intra-Community acquisitions, reduced tax rate;e
73321;Turnover tax statistics (assessments);JAHR;Year;2021;DINSG;Germany;DG;Germany;728283887;EUR 1000;STR052;Taxable turnover: intra-Community acquisitions;e
73321;Turnover tax statistics (assessments);JAHR;Year;2021;DINSG;Germany;DG;Germany;8118907908;EUR 1000;STR042;Taxable turnover: supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2021;DINSG;Germany;DG;Germany;8853050949;EUR 1000;STR041;Taxable turnover;e
73321;Turnover tax statistics (assessments);JAHR;Year;2021;DINSG;Germany;DG;Germany;731038665;EUR 1000;STR045;Taxable supplies and services, reduced tax rate;e
73321;Turnover tax statistics (assessments);JAHR;Year;2021;DINSG;Germany;DG;Germany;1170748080;EUR 1000;STR050;Tax-exempt s. and s. without input tax deduction;e
73321;Turnover tax statistics (assessments);JAHR;Year;2021;DINSG;Germany;DG;Germany;747726817;EUR 1000;STR049;Other tax-ex. s. and s. with input tax deduction;e
73321;Turnover tax statistics (assessments);JAHR;Year;2021;DINSG;Germany;DG;Germany;2620830892;EUR 1000;STR046;Tax-exempt supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2021;DINSG;Germany;DG;Germany;1058222991;EUR 1000;STR059;Deductible input tax;e
73321;Turnover tax statistics (assessments);JAHR;Year;2021;DINSG;Germany;DG;Germany;243078765;EUR 1000;STR058;Tax on turnov., S. 13b of UStG, rep. by the cust.;e
73321;Turnover tax statistics (assessments);JAHR;Year;2021;DINSG;Germany;DG;Germany;423035422;EUR 1000;STR051;Tax. turnover, S. 13b of UStG, rep. by the supp.;e
73321;Turnover tax statistics (assessments);JAHR;Year;2021;DINSG;Germany;DG;Germany;1246260810;EUR 1000;STR055;Turnover tax prior to deduction of input tax;e
73321;Turnover tax statistics (assessments);JAHR;Year;2021;DINSG;Germany;DG;Germany;648769218;EUR 1000;STR053;Intra-Community acquisitions, full tax rate;e
73321;Turnover tax statistics (assessments);JAHR;Year;2020;DINSG;Germany;DG;Germany;170569744;EUR 1000;STR061;Remaining turnover tax / surplus;e
73321;Turnover tax statistics (assessments);JAHR;Year;2020;DINSG;Germany;DG;Germany;4741271563;EUR 1000;STR043;Taxable supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2020;DINSG;Germany;DG;Germany;658572984;EUR 1000;STR048;Tax-ex. s. and s., input tax ded. intra-Com. sup.;e
73321;Turnover tax statistics (assessments);JAHR;Year;2020;DINSG;Germany;DG;Germany;741537871;EUR 1000;STR056;Turnover tax on supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2020;DINSG;Germany;DG;Germany;105470246;EUR 1000;STR057;Turnover tax on intra-Community acquisitions;e
